db_id,gold_sql,question,query_toks,query_toks_no_value,question_toks,model_1_sql,model_2_sql,exact_m1,exact_m2,exec_m1,exec_m2
concert_singer,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",Show the name and theme for all concerts and the number of singers in each concert.,"['SELECT', 'T2.concert_name', ',', 'T2.theme', ',', 'count', '(', '*', ')', 'FROM', 'singer_in_concert', 'AS', 'T1', 'JOIN', 'concert', 'AS', 'T2', 'ON', 'T1.concert_id', '=', 'T2.concert_id', 'GROUP', 'BY', 'T2.concert_id']","['select', 't2', '.', 'concert_name', ',', 't2', '.', 'theme', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'concert', 'as', 't2', 'on', 't1', '.', 'concert_id', '=', 't2', '.', 'concert_id', 'group', 'by', 't2', '.', 'concert_id']","['Show', 'the', 'name', 'and', 'theme', 'for', 'all', 'concerts', 'and', 'the', 'number', 'of', 'singers', 'in', 'each', 'concert', '.']","singer(name, country, age) Question: Show the name and theme for all concerts and the number of singers in each concert.",Show the name and theme for all concerts and the number of singers in each concert.,False,False,0,0
concert_singer,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","What are the names , themes , and number of singers for every concert ?","['select', 't2.concert_name', ',', 't2.theme', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'concert', 'as', 't2', 'on', 't1.concert_id', '=', 't2.concert_id', 'group', 'by', 't2.concert_id']","['select', 't2', '.', 'concert_name', ',', 't2', '.', 'theme', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'concert', 'as', 't2', 'on', 't1', '.', 'concert_id', '=', 't2', '.', 'concert_id', 'group', 'by', 't2', '.', 'concert_id']","['What', 'are', 'the', 'names', ',', 'themes', ',', 'and', 'number', 'of', 'singers', 'for', 'every', 'concert', '?']","singer(name, country, age) Question","What are the names , themes , and number of singers for every concert?",False,False,0,0
concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",List singer names and number of concerts for each singer.,"['SELECT', 'T2.name', ',', 'count', '(', '*', ')', 'FROM', 'singer_in_concert', 'AS', 'T1', 'JOIN', 'singer', 'AS', 'T2', 'ON', 'T1.singer_id', '=', 'T2.singer_id', 'GROUP', 'BY', 'T2.singer_id']","['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'singer', 'as', 't2', 'on', 't1', '.', 'singer_id', '=', 't2', '.', 'singer_id', 'group', 'by', 't2', '.', 'singer_id']","['List', 'singer', 'names', 'and', 'number', 'of', 'concerts', 'for', 'each', 'singer', '.']","singer(name, country, age) Question: List singer names and number of concerts for each singer.",List singers and number of concerts for each singer,False,False,0,0
concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",What are the names of the singers and number of concerts for each person?,"['SELECT', 'T2.name', ',', 'count', '(', '*', ')', 'FROM', 'singer_in_concert', 'AS', 'T1', 'JOIN', 'singer', 'AS', 'T2', 'ON', 'T1.singer_id', '=', 'T2.singer_id', 'GROUP', 'BY', 'T2.singer_id']","['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'singer', 'as', 't2', 'on', 't1', '.', 'singer_id', '=', 't2', '.', 'singer_id', 'group', 'by', 't2', '.', 'singer_id']","['What', 'are', 'the', 'names', 'of', 'the', 'singers', 'and', 'number', 'of', 'concerts', 'for', 'each', 'person', '?']","singer(name, country, age) Question: What are the singers and number of concerts for each person?",What are the names of the singers and number of concerts for each person?,False,False,0,0
concert_singer,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,List all singer names in concerts in year 2014.,"['SELECT', 'T2.name', 'FROM', 'singer_in_concert', 'AS', 'T1', 'JOIN', 'singer', 'AS', 'T2', 'ON', 'T1.singer_id', '=', 'T2.singer_id', 'JOIN', 'concert', 'AS', 'T3', 'ON', 'T1.concert_id', '=', 'T3.concert_id', 'WHERE', 'T3.year', '=', '2014']","['select', 't2', '.', 'name', 'from', 'singer_in_concert', 'as', 't1', 'join', 'singer', 'as', 't2', 'on', 't1', '.', 'singer_id', '=', 't2', '.', 'singer_id', 'join', 'concert', 'as', 't3', 'on', 't1', '.', 'concert_id', '=', 't3', '.', 'concert_id', 'where', 't3', '.', 'year', '=', 'value']","['List', 'all', 'singer', 'names', 'in', 'concerts', 'in', 'year', '2014', '.']","singer(name, country, age) Question: List all singer names in concerts in year 2014",List all singers in concerts in 2014,False,False,0,0
concert_singer,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,What are the names of the singers who performed in a concert in 2014?,"['SELECT', 'T2.name', 'FROM', 'singer_in_concert', 'AS', 'T1', 'JOIN', 'singer', 'AS', 'T2', 'ON', 'T1.singer_id', '=', 'T2.singer_id', 'JOIN', 'concert', 'AS', 'T3', 'ON', 'T1.concert_id', '=', 'T3.concert_id', 'WHERE', 'T3.year', '=', '2014']","['select', 't2', '.', 'name', 'from', 'singer_in_concert', 'as', 't1', 'join', 'singer', 'as', 't2', 'on', 't1', '.', 'singer_id', '=', 't2', '.', 'singer_id', 'join', 'concert', 'as', 't3', 'on', 't1', '.', 'concert_id', '=', 't3', '.', 'concert_id', 'where', 't3', '.', 'year', '=', 'value']","['What', 'are', 'the', 'names', 'of', 'the', 'singers', 'who', 'performed', 'in', 'a', 'concert', 'in', '2014', '?']","singer(name, country, age) Question: What are the names of the singers who performed in a concert in 2014?",What are the names of the singers who performed in a concert in 2014?,False,False,0,0
concert_singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",what is the name and nation of the singer who have a song having 'Hey' in its name?,"['SELECT', 'name', ',', 'country', 'FROM', 'singer', 'WHERE', 'song_name', 'LIKE', ""'"", '%', 'Hey', '%', ""'""]","['select', 'name', ',', 'country', 'from', 'singer', 'where', 'song_name', 'like', 'value']","['what', 'is', 'the', 'name', 'and', 'nation', 'of', 'the', 'singer', 'who', 'have', 'a', 'song', 'having', ""'Hey"", ""'"", 'in', 'its', 'name', '?']","singer(name, country, age) Question: who is the nation of the singer who have a song having 'Hey' in its name?",What is the name and age of the singer who have a song having 'Hey' in its name?,False,False,0,0
concert_singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"['SELECT', 'name', ',', 'country', 'FROM', 'singer', 'WHERE', 'song_name', 'LIKE', ""'"", '%', 'Hey', '%', ""'""]","['select', 'name', ',', 'country', 'from', 'singer', 'where', 'song_name', 'like', 'value']","['What', 'is', 'the', 'name', 'and', 'country', 'of', 'origin', 'of', 'every', 'singer', 'who', 'has', 'a', 'song', 'with', 'the', 'word', ""'Hey"", ""'"", 'in', 'its', 'title', '?']","singer(name, country, age) Question: Who is the singer who has a song with the word 'Hey' in its title?",What is the name and country of every singer who has a song with the word 'Hey' in its title?,False,False,0,0
singer,SELECT count(*) FROM singer,How many singers are there?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['How', 'many', 'singers', 'are', 'there', '?']","singer(name, country, age) Question: How many singers are there?",How many singers are there?,False,False,0,0
singer,SELECT count(*) FROM singer,What is the count of singers?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['What', 'is', 'the', 'count', 'of', 'singers', '?']","singer(name, country, age) Question: What is the count of singers?",What is the count of singers?,False,False,0,0
singer,SELECT Name FROM singer ORDER BY Net_Worth_Millions ASC,List the name of singers in ascending order of net worth.,"['SELECT', 'Name', 'FROM', 'singer', 'ORDER', 'BY', 'Net_Worth_Millions', 'ASC']","['select', 'name', 'from', 'singer', 'order', 'by', 'net_worth_millions', 'asc']","['List', 'the', 'name', 'of', 'singers', 'in', 'ascending', 'order', 'of', 'net', 'worth', '.']","singer(name, country, age) Question: List the name of singers in ascending order of net worth.",List the name of singers in ascending order of net worth,False,False,0,0
singer,SELECT Name FROM singer ORDER BY Net_Worth_Millions ASC,What are the names of singers ordered by ascending net worth?,"['SELECT', 'Name', 'FROM', 'singer', 'ORDER', 'BY', 'Net_Worth_Millions', 'ASC']","['select', 'name', 'from', 'singer', 'order', 'by', 'net_worth_millions', 'asc']","['What', 'are', 'the', 'names', 'of', 'singers', 'ordered', 'by', 'ascending', 'net', 'worth', '?']","singer(name, country, age) Question: What are the names of singers ordered by ascending net worth?",What are the names of singers ordered by ascending net worth?,False,False,0,0
singer,"SELECT Birth_Year ,  Citizenship FROM singer",What are the birth year and citizenship of singers?,"['SELECT', 'Birth_Year', ',', 'Citizenship', 'FROM', 'singer']","['select', 'birth_year', ',', 'citizenship', 'from', 'singer']","['What', 'are', 'the', 'birth', 'year', 'and', 'citizenship', 'of', 'singers', '?']","singer(name, country, age) Question: What are the birth year and citizenship of singers?",What are the birth year and citizenship of singers?,False,False,0,0
singer,"SELECT Birth_Year ,  Citizenship FROM singer",What are the birth years and citizenships of the singers?,"['SELECT', 'Birth_Year', ',', 'Citizenship', 'FROM', 'singer']","['select', 'birth_year', ',', 'citizenship', 'from', 'singer']","['What', 'are', 'the', 'birth', 'years', 'and', 'citizenships', 'of', 'the', 'singers', '?']","singer(name, country, age) Question: What are birth years and citizenships of the singers?",What are the birth years and citizenships of the singers?,False,False,0,0
singer,"SELECT Name FROM singer WHERE Citizenship != ""France""","List the name of singers whose citizenship is not ""France"".","['SELECT', 'Name', 'FROM', 'singer', 'WHERE', 'Citizenship', '!', '=', '``', 'France', ""''""]","['select', 'name', 'from', 'singer', 'where', 'citizenship', '!', '=', 'value']","['List', 'the', 'name', 'of', 'singers', 'whose', 'citizenship', 'is', 'not', '``', 'France', ""''"", '.']","singer(name, country, age) Question: List the name of singers whose citizenship is not ""France"".","List the name of singers whose citizenship is not ""France"".",False,False,0,0
